"st" "flag_fthb" "prop_type" "count" "fico_avg" "avg_ltv" "avg_dti" "year" "quart"
"73" "CT" "Y" "CO" 64 714.953125 83.375 32.34375 "2000" "1"
"74" "CT" "Y" "PU" 7 688.285714285714 83.5714285714286 41.7142857142857 "2000" "1"
"75" "CT" "Y" "SF" 276 712.514492753623 83.1123188405797 34.4347826086956 "2000" "1"
"76" "DC" "" "CO" 9 716.444444444444 74.1111111111111 29.6666666666667 "2000" "1"
"77" "DC" "" "PU" 1 724 95 41 "2000" "1"
"78" "DC" "" "SF" 30 666.9 69.2333333333333 30.0333333333333 "2000" "1"
"79" "DC" "N" "CO" 21 720.952380952381 80.5238095238095 29.8095238095238 "2000" "1"
"80" "DC" "N" "PU" 2 677 87.5 34 "2000" "1"
"81" "DC" "N" "SF" 47 705.68085106383 78.7234042553192 33.5957446808511 "2000" "1"
"82" "DC" "Y" "CO" 25 718.36 82.76 35.28 "2000" "1"
"83" "DC" "Y" "PU" 1 662 80 42 "2000" "1"
"84" "DC" "Y" "SF" 23 675.565217391304 85.2173913043478 34.9130434782609 "2000" "1"
"85" "DE" "" "CO" 18 733.222222222222 75.5555555555556 31.3888888888889 "2000" "1"
"86" "DE" "" "PU" 16 709.9375 64.9375 29.6875 "2000" "1"
"87" "DE" "" "SF" 80 702.95 73.6125 32.325 "2000" "1"
"88" "DE" "N" "CO" 26 729.846153846154 73.7307692307692 34 "2000" "1"
"89" "DE" "N" "MH" 1 559 66 27 "2000" "1"
"90" "DE" "N" "PU" 38 706.947368421053 77 37.3421052631579 "2000" "1"
"91" "DE" "N" "SF" 186 717.338709677419 78.0430107526882 34.7741935483871 "2000" "1"
"92" "DE" "Y" "CO" 7 715.285714285714 82.8571428571429 35.5714285714286 "2000" "1"
"93" "DE" "Y" "PU" 15 696.6 86.1333333333333 33.0666666666667 "2000" "1"
"94" "DE" "Y" "SF" 76 692.013157894737 83.1578947368421 33.6578947368421 "2000" "1"
"95" "FL" "" "CO" 279 726.741935483871 77.5017921146953 32.3297491039427 "2000" "1"
"96" "FL" "" "LH" 2 755.5 79 42 "2000" "1"
"97" "FL" "" "MH" 6 677.166666666667 80.6666666666667 36.6666666666667 "2000" "1"
"98" "FL" "" "PU" 153 721.882352941176 74.9281045751634 33.6601307189542 "2000" "1"
"99" "FL" "" "SF" 740 705.364864864865 74.5148648648649 34.8918918918919 "2000" "1"
"100" "FL" "N" "CO" 893 720.430011198208 79.9955207166853 32.7569988801792 "2000" "1"
